mass, fa, running cmu, # selected ALPs
0.3, 200.0, 0.00018944982449460714, 6.22667153573877e-98
0.3, 260.0, 0.00021335606042236416, 2.095483650064202e-57
0.3, 338.0, 0.00023769022402280414, 2.1614798737570405e-33
0.3, 439.4, 0.000262382276126682, 3.2264574723724283e-19
0.3, 571.22, 0.0002873552674808576, 6.569045342758389e-11
0.3, 742.586, 0.0003125605667165231, 4.384048466238962e-06
0.3, 965.3618, 0.0003379368272797891, 0.002689830338640062
0.3, 1254.97034, 0.0003634478721741774, 0.11383146253563876
0.3, 1631.461442, 0.00038904663134145935, 1.1340250239016412
0.3, 2120.8998746, 0.00041470724676531505, 6.448539641329581
0.3, 2757.16983698, 0.00044039624504858317, 26.315555299311676
0.3, 3584.320788074, 0.00046607938978384387, 65.87398267054726
0.3, 4659.6170244962, 0.0004917442692341376, 101.2691039015131
0.3, 6057.50213184506, 0.0005173669097980869, 103.9485279975379
0.3, 7874.752771398578, 0.0005429295211935227, 77.96515628932072
0.3, 10237.178602818152, 0.0005684120758074944, 46.3811388746351
0.3, 13308.332183663599, 0.0005938037401128717, 23.45741134114451
0.3, 17300.831838762675, 0.000619097273398791, 10.640743669781418
0.3, 22491.08139039148, 0.0006442791560879395, 4.496794772049491
0.3, 29238.40580750892, 0.0006693405094607992, 1.8159036467131464
0.3, 38009.9275497616, 0.0006942736522806987, 0.7122534835809491
0.3, 49412.90581469008, 0.0007190719845625479, 0.27415543929224523
0.35, 200.0, 0.00018944982449460714, 2.579494279149231e-79
0.35, 260.0, 0.00021335606042236416, 1.4066865114046511e-46
0.35, 338.0, 0.00023769022402280414, 4.255759634947094e-27
0.35, 439.4, 0.000262382276126682, 1.5015691428298283e-15
0.35, 571.22, 0.0002873552674808576, 9.310822717314585e-09
0.35, 742.586, 0.0003125605667165231, 8.13862213750863e-05
0.35, 965.3618, 0.0003379368272797891, 0.015587240988047469
0.35, 1254.97034, 0.0003634478721741774, 0.48841228926489905
0.35, 1631.461442, 0.00038904663134145935, 6.911381968548755
0.35, 2120.8998746, 0.00041470724676531505, 44.11989552141165
0.35, 2757.16983698, 0.00044039624504858317, 138.96184768341473
0.35, 3584.320788074, 0.00046607938978384387, 252.46958886528876
0.35, 4659.6170244962, 0.0004917442692341376, 298.9086095426401
0.35, 6057.50213184506, 0.0005173669097980869, 253.0773880673034
0.35, 7874.752771398578, 0.0005429295211935227, 165.74049256884885
0.35, 10237.178602818152, 0.0005684120758074944, 90.00882407130952
0.35, 13308.332183663599, 0.0005938037401128717, 42.93799881289538
0.35, 17300.831838762675, 0.000619097273398791, 18.787026624857344
0.35, 22491.08139039148, 0.0006442791560879395, 7.7689463022280085
0.35, 29238.40580750892, 0.0006693405094607992, 3.097301346898121
0.35, 38009.9275497616, 0.0006942736522806987, 1.205800698837023
0.35, 49412.90581469008, 0.0007190719845625479, 0.4621224030914674
0.4, 200.0, 0.00018944982449460714, 4.671398822136668e-05
0.4, 260.0, 0.00021335606042236416, 0.023341739486091896
0.4, 338.0, 0.00023769022402280414, 1.1556882291631898
0.4, 439.4, 0.000262382276126682, 12.351962473917203
0.4, 571.22, 0.0002873552674808576, 52.997285241251134
0.4, 742.586, 0.0003125605667165231, 175.6727179009321
0.4, 965.3618, 0.0003379368272797891, 585.1196392890524
0.4, 1254.97034, 0.0003634478721741774, 1532.8431980195805
0.4, 1631.461442, 0.00038904663134145935, 2816.3237630182257
0.4, 2120.8998746, 0.00041470724676531505, 3699.5295066898857
0.4, 2757.16983698, 0.00044039624504858317, 3636.364735548792
0.4, 3584.320788074, 0.00046607938978384387, 2800.5113417651746
0.4, 4659.6170244962, 0.0004917442692341376, 1769.2465012117334
0.4, 6057.50213184506, 0.0005173669097980869, 959.023955236444
0.4, 7874.752771398578, 0.0005429295211935227, 464.25874532443936
0.4, 10237.178602818152, 0.0005684120758074944, 207.32978614029275
0.4, 13308.332183663599, 0.0005938037401128717, 87.52591441144378
0.4, 17300.831838762675, 0.000619097273398791, 35.54529775629103
0.4, 22491.08139039148, 0.0006442791560879395, 14.055868055155928
0.4, 29238.40580750892, 0.0006693405094607992, 5.456796473674021
0.4, 38009.9275497616, 0.0006942736522806987, 2.0913159840744595
0.4, 49412.90581469008, 0.0007190719845625479, 0.7941460912392545
0.45, 200.0, 0.00018944982449460714, 0.0
0.45, 260.0, 0.00021335606042236416, 0.0
0.45, 338.0, 0.00023769022402280414, 0.0
0.45, 439.4, 0.000262382276126682, 0.0
0.45, 571.22, 0.0002873552674808576, 0.0
0.45, 742.586, 0.0003125605667165231, 1.0585600683099821e-221
0.45, 965.3618, 0.0003379368272797891, 5.568881961966735e-131
0.45, 1254.97034, 0.0003634478721741774, 2.5291996057199387e-77
0.45, 1631.461442, 0.00038904663134145935, 1.2222720253163845e-45
0.45, 2120.8998746, 0.00041470724676531505, 5.359146719428253e-27
0.45, 2757.16983698, 0.00044039624504858317, 4.3528257685019843e-16
0.45, 3584.320788074, 0.00046607938978384387, 9.697827809375523e-10
0.45, 4659.6170244962, 0.0004917442692341376, 4.95308742352156e-06
0.45, 6057.50213184506, 0.0005173669097980869, 0.0009241856227457376
0.45, 7874.752771398578, 0.0005429295211935227, 0.027651704637980164
0.45, 10237.178602818152, 0.0005684120758074944, 0.26060401482167367
0.45, 13308.332183663599, 0.0005938037401128717, 1.098068879981877
0.45, 17300.831838762675, 0.000619097273398791, 2.4852880598729765
0.45, 22491.08139039148, 0.0006442791560879395, 3.4089035487921633
0.45, 29238.40580750892, 0.0006693405094607992, 3.1326130699890142
0.45, 38009.9275497616, 0.0006942736522806987, 2.12096075013812
0.45, 49412.90581469008, 0.0007190719845625479, 1.1558785262533078
0.5, 200.0, 0.00018944982449460714, 0.0
0.5, 260.0, 0.00021335606042236416, 0.0
0.5, 338.0, 0.00023769022402280414, 0.0
0.5, 439.4, 0.000262382276126682, 0.0
0.5, 571.22, 0.0002873552674808576, 0.0
0.5, 742.586, 0.0003125605667165231, 0.0
0.5, 965.3618, 0.0003379368272797891, 0.0
0.5, 1254.97034, 0.0003634478721741774, 0.0
0.5, 1631.461442, 0.00038904663134145935, 0.0
0.5, 2120.8998746, 0.00041470724676531505, 0.0
0.5, 2757.16983698, 0.00044039624504858317, 6.483481349744752e-235
0.5, 3584.320788074, 0.00046607938978384387, 3.724465721936138e-139
0.5, 4659.6170244962, 0.0004917442692341376, 1.4437477149836068e-82
0.5, 6057.50213184506, 0.0005173669097980869, 3.5267072555496425e-49
0.5, 7874.752771398578, 0.0005429295211935227, 1.5054689406951363e-29
0.5, 10237.178602818152, 0.0005684120758074944, 4.556064428438354e-18
0.5, 13308.332183663599, 0.0005938037401128717, 2.1306052740351868e-11
0.5, 17300.831838762675, 0.000619097273398791, 1.4642187834505027e-07
0.5, 22491.08139039148, 0.0006442791560879395, 2.407014138636119e-05
0.5, 29238.40580750892, 0.0006693405094607992, 0.0006135207101676562
0.5, 38009.9275497616, 0.0006942736522806987, 0.006296985512534427
0.5, 49412.90581469008, 0.0007190719845625479, 0.0311899427378073
0.54, 200.0, 0.00018944982449460714, 0.0
0.54, 260.0, 0.00021335606042236416, 0.0
0.54, 338.0, 0.00023769022402280414, 0.0
0.54, 439.4, 0.000262382276126682, 0.0
0.54, 571.22, 0.0002873552674808576, 0.0
0.54, 742.586, 0.0003125605667165231, 0.0
0.54, 965.3618, 0.0003379368272797891, 0.0
0.54, 1254.97034, 0.0003634478721741774, 0.0
0.54, 1631.461442, 0.00038904663134145935, 0.0
0.54, 2120.8998746, 0.00041470724676531505, 0.0
0.54, 2757.16983698, 0.00044039624504858317, 0.0
0.54, 3584.320788074, 0.00046607938978384387, 0.0
0.54, 4659.6170244962, 0.0004917442692341376, 0.0
0.54, 6057.50213184506, 0.0005173669097980869, 0.0
0.54, 7874.752771398578, 0.0005429295211935227, 0.0
0.54, 10237.178602818152, 0.0005684120758074944, 0.0
0.54, 13308.332183663599, 0.0005938037401128717, 0.0
0.54, 17300.831838762675, 0.000619097273398791, 0.0
0.54, 22491.08139039148, 0.0006442791560879395, 2.771357514578782e-223
0.54, 29238.40580750892, 0.0006693405094607992, 4.824221929667002e-133
0.54, 38009.9275497616, 0.0006942736522806987, 9.332401115755341e-80
0.54, 49412.90581469008, 0.0007190719845625479, 2.2922860484707378e-48
0.6, 200.0, 0.00018944982449460714, 0.0
0.6, 260.0, 0.00021335606042236416, 0.0
0.6, 338.0, 0.00023769022402280414, 0.0
0.6, 439.4, 0.000262382276126682, 0.0
0.6, 571.22, 0.0002873552674808576, 0.0
0.6, 742.586, 0.0003125605667165231, 0.0
0.6, 965.3618, 0.0003379368272797891, 0.0
0.6, 1254.97034, 0.0003634478721741774, 0.0
0.6, 1631.461442, 0.00038904663134145935, 0.0
0.6, 2120.8998746, 0.00041470724676531505, 0.0
0.6, 2757.16983698, 0.00044039624504858317, 0.0
0.6, 3584.320788074, 0.00046607938978384387, 0.0
0.6, 4659.6170244962, 0.0004917442692341376, 0.0
0.6, 6057.50213184506, 0.0005173669097980869, 2.668661877695317e-192
0.6, 7874.752771398578, 0.0005429295211935227, 2.749657561309146e-114
0.6, 10237.178602818152, 0.0005684120758074944, 3.5534303480049904e-68
0.6, 13308.332183663599, 0.0005938037401128717, 5.555726960533544e-41
0.6, 17300.831838762675, 0.000619097273398791, 5.028435549301473e-25
0.6, 22491.08139039148, 0.0006442791560879395, 1.0089712047296348e-15
0.6, 29238.40580750892, 0.0006693405094607992, 2.5907686764133617e-10
0.6, 38009.9275497616, 0.0006942736522806987, 4.261506798210912e-07
0.6, 49412.90581469008, 0.0007190719845625479, 4.465118432088907e-05
0.65, 200.0, 0.00018944982449460714, 0.0
0.65, 260.0, 0.00021335606042236416, 0.0
0.65, 338.0, 0.00023769022402280414, 0.0
