# theta_low theta_high x_low x_high theta_center x_center ratio_integral err_integral ratio_width err_width
0.000000 6.000000 208.500000 225.500000 3.000000 217.000000 1.030443 0.000422 0.998046 0.000122
0.000000 6.000000 225.500000 234.000000 3.000000 229.750000 1.051887 0.000557 0.999449 0.000155
0.000000 6.000000 234.000000 242.500000 3.000000 238.250000 1.033600 0.000558 0.996368 0.000152
0.000000 6.000000 242.500000 251.000000 3.000000 246.750000 1.016351 0.000529 0.996896 0.000150
0.000000 6.000000 251.000000 259.500000 3.000000 255.250000 1.039252 0.000521 0.995306 0.000147
0.000000 6.000000 259.500000 268.000000 3.000000 263.750000 1.060770 0.000524 0.996548 0.000150
0.000000 6.000000 268.000000 276.500000 3.000000 272.250000 1.045051 0.000529 0.994850 0.000144
0.000000 6.000000 276.500000 285.000000 3.000000 280.750000 1.040918 0.000514 0.995852 0.000146
0.000000 6.000000 285.000000 293.500000 3.000000 289.250000 1.030870 0.000518 0.996188 0.000146
0.000000 6.000000 293.500000 302.000000 3.000000 297.750000 1.017650 0.000517 0.994565 0.000140
0.000000 6.000000 302.000000 310.500000 3.000000 306.250000 1.019531 0.000516 0.993447 0.000139
0.000000 6.000000 310.500000 319.000000 3.000000 314.750000 1.018368 0.000511 0.993705 0.000138
0.000000 6.000000 319.000000 327.500000 3.000000 323.250000 1.027473 0.000511 0.993087 0.000141
0.000000 6.000000 327.500000 336.000000 3.000000 331.750000 1.008483 0.000485 0.993406 0.000137
0.000000 6.000000 336.000000 344.500000 3.000000 340.250000 1.029736 0.000529 0.993938 0.000137
0.000000 6.000000 344.500000 353.000000 3.000000 348.750000 1.047754 0.000584 0.994481 0.000148
0.000000 6.000000 353.000000 370.000000 3.000000 361.500000 1.050321 0.000867 0.986319 0.000196
6.000000 12.000000 208.500000 225.500000 9.000000 217.000000 1.029398 0.000334 1.005370 0.000108
6.000000 12.000000 225.500000 234.000000 9.000000 229.750000 1.024992 0.000440 1.004947 0.000141
6.000000 12.000000 234.000000 242.500000 9.000000 238.250000 1.029916 0.000445 1.004850 0.000143
6.000000 12.000000 242.500000 251.000000 9.000000 246.750000 1.023329 0.000439 1.004668 0.000135
6.000000 12.000000 251.000000 259.500000 9.000000 255.250000 1.023738 0.000429 1.003739 0.000131
6.000000 12.000000 259.500000 268.000000 9.000000 263.750000 1.021702 0.000422 1.004878 0.000133
6.000000 12.000000 268.000000 276.500000 9.000000 272.250000 1.022814 0.000429 1.002632 0.000132
6.000000 12.000000 276.500000 285.000000 9.000000 280.750000 1.027996 0.000428 1.004803 0.000129
6.000000 12.000000 285.000000 293.500000 9.000000 289.250000 1.021415 0.000426 1.003584 0.000127
6.000000 12.000000 293.500000 302.000000 9.000000 297.750000 1.011344 0.000436 1.002077 0.000128
