# theta_low theta_high x_low x_high theta_center x_center ratio_integral err_integral ratio_width err_width
0.000000 6.000000 208.500000 225.500000 3.000000 217.000000 1.023138 0.000311 1.030791 0.000123
0.000000 6.000000 225.500000 234.000000 3.000000 229.750000 1.014058 0.000414 1.031061 0.000165
0.000000 6.000000 234.000000 242.500000 3.000000 238.250000 1.013481 0.000422 1.031466 0.000171
0.000000 6.000000 242.500000 251.000000 3.000000 246.750000 1.021925 0.000424 1.029020 0.000169
0.000000 6.000000 251.000000 259.500000 3.000000 255.250000 1.028104 0.000411 1.030037 0.000166
0.000000 6.000000 259.500000 268.000000 3.000000 263.750000 1.018504 0.000405 1.030451 0.000163
0.000000 6.000000 268.000000 276.500000 3.000000 272.250000 1.027125 0.000402 1.029689 0.000159
0.000000 6.000000 276.500000 285.000000 3.000000 280.750000 1.023692 0.000396 1.030926 0.000163
0.000000 6.000000 285.000000 293.500000 3.000000 289.250000 1.038254 0.000410 1.032266 0.000161
0.000000 6.000000 293.500000 302.000000 3.000000 297.750000 1.035851 0.000404 1.030095 0.000160
0.000000 6.000000 302.000000 310.500000 3.000000 306.250000 1.038764 0.000394 1.028733 0.000155
0.000000 6.000000 310.500000 319.000000 3.000000 314.750000 1.024668 0.000371 1.028850 0.000152
0.000000 6.000000 319.000000 327.500000 3.000000 323.250000 1.031398 0.000388 1.029420 0.000154
0.000000 6.000000 327.500000 336.000000 3.000000 331.750000 1.030944 0.000385 1.029105 0.000153
0.000000 6.000000 336.000000 344.500000 3.000000 340.250000 1.032461 0.000387 1.029143 0.000156
0.000000 6.000000 344.500000 353.000000 3.000000 348.750000 1.023197 0.000389 1.028380 0.000157
0.000000 6.000000 353.000000 370.000000 3.000000 361.500000 1.013835 0.000530 1.023012 0.000219
6.000000 12.000000 208.500000 225.500000 9.000000 217.000000 1.012502 0.000228 1.024982 0.000106
6.000000 12.000000 225.500000 234.000000 9.000000 229.750000 1.020981 0.000306 1.027486 0.000144
6.000000 12.000000 234.000000 242.500000 9.000000 238.250000 1.019507 0.000307 1.027974 0.000145
6.000000 12.000000 242.500000 251.000000 9.000000 246.750000 1.016948 0.000309 1.028130 0.000145
6.000000 12.000000 251.000000 259.500000 9.000000 255.250000 1.017763 0.000311 1.027449 0.000143
6.000000 12.000000 259.500000 268.000000 9.000000 263.750000 1.019875 0.000305 1.027838 0.000142
6.000000 12.000000 268.000000 276.500000 9.000000 272.250000 1.021445 0.000303 1.028079 0.000140
6.000000 12.000000 276.500000 285.000000 9.000000 280.750000 1.021265 0.000302 1.027140 0.000139
6.000000 12.000000 285.000000 293.500000 9.000000 289.250000 1.018889 0.000297 1.028329 0.000138
6.000000 12.000000 293.500000 302.000000 9.000000 297.750000 1.019775 0.000294 1.027685 0.000137
6.000000 12.000000 302.000000 310.500000 9.000000 306.250000 1.016881 0.000297 1.027250 0.000137
6.000000 12.000000 310.500000 319.000000 9.000000 314.750000 1.021346 0.000296 1.026654 0.000137
6.000000 12.000000 319.000000 327.500000 9.000000 323.250000 1.021479 0.000293 1.026180 0.000137
6.000000 12.000000 327.500000 336.000000 9.000000 331.750000 1.023073 0.000293 1.027314 0.000135
6.000000 12.000000 336.000000 344.500000 9.000000 340.250000 1.020492 0.000288 1.027950 0.000134
6.000000 12.000000 344.500000 353.000000 9.000000 348.750000 1.016187 0.000280 1.022242 0.000133
6.000000 12.000000 353.000000 370.000000 9.000000 361.500000 1.015532 0.000406 1.020333 0.000187
12.000000 18.000000 208.500000 225.500000 15.000000 217.000000 1.020429 0.000262 1.037711 0.000122
12.000000 18.000000 225.500000 234.000000 15.000000 229.750000 1.028467 0.000346 1.040147 0.000163
12.000000 18.000000 234.000000 242.500000 15.000000 238.250000 1.030350 0.000345 1.042258 0.000164
12.000000 18.000000 242.500000 251.000000 15.000000 246.750000 1.031243 0.000348 1.041924 0.000167
12.000000 18.000000 251.000000 259.500000 15.000000 255.250000 1.025534 0.000342 1.041489 0.000165
12.000000 18.000000 259.500000 268.000000 15.000000 263.750000 1.028729 0.000347 1.040530 0.000165
12.000000 18.000000 268.000000 276.500000 15.000000 272.250000 1.027731 0.000347 1.041189 0.000163
12.000000 18.000000 276.500000 285.000000 15.000000 280.750000 1.025189 0.000340 1.039597 0.000162
12.000000 18.000000 285.000000 293.500000 15.000000 289.250000 1.027268 0.000341 1.041518 0.000161
12.000000 18.000000 293.500000 302.000000 15.000000 297.750000 1.027147 0.000334 1.039204 0.000159
12.000000 18.000000 302.000000 310.500000 15.000000 306.250000 1.023586 0.000329 1.040949 0.000156
12.000000 18.000000 310.500000 319.000000 15.000000 314.750000 1.029746 0.000331 1.041300 0.000156
12.000000 18.000000 319.000000 327.500000 15.000000 323.250000 1.025792 0.000325 1.040737 0.000154
12.000000 18.000000 327.500000 336.000000 15.000000 331.750000 1.022345 0.000310 1.038825 0.000148
12.000000 18.000000 336.000000 344.500000 15.000000 340.250000 1.017004 0.000304 1.037157 0.000145
12.000000 18.000000 344.500000 353.000000 15.000000 348.750000 1.017062 0.000303 1.036476 0.000143
12.000000 18.000000 353.000000 370.000000 15.000000 361.500000 1.020983 0.000438 1.033138 0.000205
18.000000 24.000000 208.500000 225.500000 21.000000 217.000000 1.007262 0.000273 1.040552 0.000133
18.000000 24.000000 225.500000 234.000000 21.000000 229.750000 1.007574 0.000360 1.041378 0.000180
18.000000 24.000000 234.000000 242.500000 21.000000 238.250000 1.009466 0.000362 1.040774 0.000180
18.000000 24.000000 242.500000 251.000000 21.000000 246.750000 1.014506 0.000362 1.044336 0.000178
18.000000 24.000000 251.000000 259.500000 21.000000 255.250000 1.011496 0.000363 1.043571 0.000180
18.000000 24.000000 259.500000 268.000000 21.000000 263.750000 1.010092 0.000363 1.043518 0.000179
18.000000 24.000000 268.000000 276.500000 21.000000 272.250000 1.009392 0.000355 1.043751 0.000176
18.000000 24.000000 276.500000 285.000000 21.000000 280.750000 1.009038 0.000348 1.042015 0.000176
18.000000 24.000000 285.000000 293.500000 21.000000 289.250000 1.010390 0.000348 1.043051 0.000172
18.000000 24.000000 293.500000 302.000000 21.000000 297.750000 1.006052 0.000345 1.043578 0.000171
18.000000 24.000000 302.000000 310.500000 21.000000 306.250000 1.010147 0.000339 1.043258 0.000167
18.000000 24.000000 310.500000 319.000000 21.000000 314.750000 1.007168 0.000336 1.041893 0.000166
18.000000 24.000000 319.000000 327.500000 21.000000 323.250000 1.009610 0.000331 1.042542 0.000164
18.000000 24.000000 327.500000 336.000000 21.000000 331.750000 1.011746 0.000326 1.042057 0.000159
18.000000 24.000000 336.000000 344.500000 21.000000 340.250000 1.014243 0.000320 1.042585 0.000158
18.000000 24.000000 344.500000 353.000000 21.000000 348.750000 1.015158 0.000337 1.041479 0.000163
18.000000 24.000000 353.000000 370.000000 21.000000 361.500000 1.008163 0.000482 1.040272 0.000227
24.000000 30.000000 208.500000 225.500000 27.000000 217.000000 0.992435 0.000302 1.036004 0.000156
24.000000 30.000000 225.500000 234.000000 27.000000 229.750000 0.998303 0.000401 1.038733 0.000205
24.000000 30.000000 234.000000 242.500000 27.000000 238.250000 0.994686 0.000394 1.036176 0.000205
24.000000 30.000000 242.500000 251.000000 27.000000 246.750000 0.993045 0.000395 1.039480 0.000205
24.000000 30.000000 251.000000 259.500000 27.000000 255.250000 0.996101 0.000399 1.039447 0.000204
24.000000 30.000000 259.500000 268.000000 27.000000 263.750000 0.989635 0.000392 1.038717 0.000204
24.000000 30.000000 268.000000 276.500000 27.000000 272.250000 0.991667 0.000388 1.038617 0.000202
24.000000 30.000000 276.500000 285.000000 27.000000 280.750000 0.993118 0.000387 1.039027 0.000199
24.000000 30.000000 285.000000 293.500000 27.000000 289.250000 0.992644 0.000378 1.038207 0.000196
24.000000 30.000000 293.500000 302.000000 27.000000 297.750000 0.989016 0.000378 1.038294 0.000196
24.000000 30.000000 302.000000 310.500000 27.000000 306.250000 0.991738 0.000370 1.038139 0.000194
24.000000 30.000000 310.500000 319.000000 27.000000 314.750000 0.991639 0.000373 1.038325 0.000192
24.000000 30.000000 319.000000 327.500000 27.000000 323.250000 0.994917 0.000374 1.038979 0.000189
24.000000 30.000000 327.500000 336.000000 27.000000 331.750000 0.995965 0.000368 1.039504 0.000188
24.000000 30.000000 336.000000 344.500000 27.000000 340.250000 0.997382 0.000373 1.040213 0.000190
24.000000 30.000000 344.500000 353.000000 27.000000 348.750000 0.998850 0.000383 1.039948 0.000195
24.000000 30.000000 353.000000 370.000000 27.000000 361.500000 0.984078 0.000538 1.034323 0.000277
30.000000 38.000000 208.500000 225.500000 34.000000 217.000000 0.971218 0.000301 1.029916 0.000166
30.000000 38.000000 225.500000 234.000000 34.000000 229.750000 0.975176 0.000401 1.028678 0.000221
30.000000 38.000000 234.000000 242.500000 34.000000 238.250000 0.970343 0.000399 1.030575 0.000221
30.000000 38.000000 242.500000 251.000000 34.000000 246.750000 0.973270 0.000397 1.030696 0.000218
