# theta_low theta_high x_low x_high theta_center x_center ratio_integral err_integral ratio_width err_width
0.000000 6.000000 208.500000 225.500000 3.000000 217.000000 1.005760 0.000330 1.035640 0.000132
0.000000 6.000000 225.500000 234.000000 3.000000 229.750000 1.004553 0.000420 1.033749 0.000170
0.000000 6.000000 234.000000 242.500000 3.000000 238.250000 1.010388 0.000419 1.037671 0.000170
0.000000 6.000000 242.500000 251.000000 3.000000 246.750000 1.024976 0.000419 1.037689 0.000166
0.000000 6.000000 251.000000 259.500000 3.000000 255.250000 1.001602 0.000393 1.034039 0.000162
0.000000 6.000000 259.500000 268.000000 3.000000 263.750000 1.001188 0.000398 1.034800 0.000161
0.000000 6.000000 268.000000 276.500000 3.000000 272.250000 1.016807 0.000397 1.035159 0.000157
0.000000 6.000000 276.500000 285.000000 3.000000 280.750000 1.019172 0.000408 1.037488 0.000161
0.000000 6.000000 285.000000 293.500000 3.000000 289.250000 1.012945 0.000391 1.036800 0.000157
0.000000 6.000000 293.500000 302.000000 3.000000 297.750000 1.011106 0.000388 1.035541 0.000155
0.000000 6.000000 302.000000 310.500000 3.000000 306.250000 1.004216 0.000396 1.034688 0.000158
0.000000 6.000000 310.500000 319.000000 3.000000 314.750000 1.020562 0.000401 1.035210 0.000161
0.000000 6.000000 319.000000 327.500000 3.000000 323.250000 1.007169 0.000384 1.035390 0.000157
0.000000 6.000000 327.500000 336.000000 3.000000 331.750000 1.008136 0.000387 1.032897 0.000156
0.000000 6.000000 336.000000 344.500000 3.000000 340.250000 1.015002 0.000390 1.032642 0.000155
0.000000 6.000000 344.500000 353.000000 3.000000 348.750000 1.006811 0.000402 1.031393 0.000162
0.000000 6.000000 353.000000 370.000000 3.000000 361.500000 1.005822 0.000568 1.024924 0.000229
6.000000 12.000000 208.500000 225.500000 9.000000 217.000000 0.999303 0.000250 1.030209 0.000117
6.000000 12.000000 225.500000 234.000000 9.000000 229.750000 1.002327 0.000319 1.031259 0.000152
6.000000 12.000000 234.000000 242.500000 9.000000 238.250000 1.006733 0.000321 1.031518 0.000151
6.000000 12.000000 242.500000 251.000000 9.000000 246.750000 1.006008 0.000319 1.031587 0.000150
6.000000 12.000000 251.000000 259.500000 9.000000 255.250000 1.005995 0.000309 1.031729 0.000143
6.000000 12.000000 259.500000 268.000000 9.000000 263.750000 1.001643 0.000304 1.030381 0.000143
6.000000 12.000000 268.000000 276.500000 9.000000 272.250000 1.006307 0.000302 1.031008 0.000142
6.000000 12.000000 276.500000 285.000000 9.000000 280.750000 1.010135 0.000303 1.032139 0.000141
6.000000 12.000000 285.000000 293.500000 9.000000 289.250000 1.002901 0.000299 1.031116 0.000139
6.000000 12.000000 293.500000 302.000000 9.000000 297.750000 1.004471 0.000298 1.029432 0.000139
6.000000 12.000000 302.000000 310.500000 9.000000 306.250000 1.003643 0.000297 1.031191 0.000139
6.000000 12.000000 310.500000 319.000000 9.000000 314.750000 1.000497 0.000292 1.031114 0.000138
6.000000 12.000000 319.000000 327.500000 9.000000 323.250000 1.000511 0.000298 1.029679 0.000140
6.000000 12.000000 327.500000 336.000000 9.000000 331.750000 1.005571 0.000293 1.029804 0.000137
6.000000 12.000000 336.000000 344.500000 9.000000 340.250000 1.007340 0.000296 1.029402 0.000137
6.000000 12.000000 344.500000 353.000000 9.000000 348.750000 1.000005 0.000304 1.026197 0.000141
6.000000 12.000000 353.000000 370.000000 9.000000 361.500000 1.004173 0.000439 1.024407 0.000201
12.000000 18.000000 208.500000 225.500000 15.000000 217.000000 1.012745 0.000264 1.043852 0.000127
12.000000 18.000000 225.500000 234.000000 15.000000 229.750000 1.022893 0.000347 1.045404 0.000169
12.000000 18.000000 234.000000 242.500000 15.000000 238.250000 1.019356 0.000338 1.045517 0.000163
12.000000 18.000000 242.500000 251.000000 15.000000 246.750000 1.015746 0.000336 1.045658 0.000161
12.000000 18.000000 251.000000 259.500000 15.000000 255.250000 1.017723 0.000336 1.045681 0.000159
12.000000 18.000000 259.500000 268.000000 15.000000 263.750000 1.019981 0.000338 1.046636 0.000160
12.000000 18.000000 268.000000 276.500000 15.000000 272.250000 1.020504 0.000338 1.046540 0.000160
12.000000 18.000000 276.500000 285.000000 15.000000 280.750000 1.022352 0.000339 1.046820 0.000159
12.000000 18.000000 285.000000 293.500000 15.000000 289.250000 1.019627 0.000335 1.045384 0.000160
12.000000 18.000000 293.500000 302.000000 15.000000 297.750000 1.018540 0.000333 1.045420 0.000158
12.000000 18.000000 302.000000 310.500000 15.000000 306.250000 1.018694 0.000329 1.044309 0.000157
12.000000 18.000000 310.500000 319.000000 15.000000 314.750000 1.016565 0.000327 1.045444 0.000157
12.000000 18.000000 319.000000 327.500000 15.000000 323.250000 1.018157 0.000332 1.043741 0.000155
12.000000 18.000000 327.500000 336.000000 15.000000 331.750000 1.012385 0.000332 1.042403 0.000158
12.000000 18.000000 336.000000 344.500000 15.000000 340.250000 1.012625 0.000331 1.039422 0.000158
12.000000 18.000000 344.500000 353.000000 15.000000 348.750000 1.012837 0.000346 1.040031 0.000165
12.000000 18.000000 353.000000 370.000000 15.000000 361.500000 1.015182 0.000503 1.035694 0.000235
18.000000 24.000000 208.500000 225.500000 21.000000 217.000000 1.005560 0.000275 1.047538 0.000139
18.000000 24.000000 225.500000 234.000000 21.000000 229.750000 1.008956 0.000353 1.049343 0.000179
18.000000 24.000000 234.000000 242.500000 21.000000 238.250000 1.007332 0.000349 1.049736 0.000179
18.000000 24.000000 242.500000 251.000000 21.000000 246.750000 1.008078 0.000350 1.046786 0.000176
18.000000 24.000000 251.000000 259.500000 21.000000 255.250000 1.007003 0.000343 1.048318 0.000173
18.000000 24.000000 259.500000 268.000000 21.000000 263.750000 1.008614 0.000346 1.046674 0.000175
18.000000 24.000000 268.000000 276.500000 21.000000 272.250000 1.007522 0.000348 1.049376 0.000174
18.000000 24.000000 276.500000 285.000000 21.000000 280.750000 1.006442 0.000349 1.047816 0.000174
18.000000 24.000000 285.000000 293.500000 21.000000 289.250000 1.013508 0.000357 1.048504 0.000177
18.000000 24.000000 293.500000 302.000000 21.000000 297.750000 1.007823 0.000354 1.046393 0.000175
18.000000 24.000000 302.000000 310.500000 21.000000 306.250000 1.010517 0.000352 1.046416 0.000173
18.000000 24.000000 310.500000 319.000000 21.000000 314.750000 1.008946 0.000357 1.047380 0.000177
18.000000 24.000000 319.000000 327.500000 21.000000 323.250000 1.010602 0.000369 1.047893 0.000178
18.000000 24.000000 327.500000 336.000000 21.000000 331.750000 1.007952 0.000369 1.047793 0.000180
18.000000 24.000000 336.000000 344.500000 21.000000 340.250000 1.005918 0.000381 1.047213 0.000184
18.000000 24.000000 344.500000 353.000000 21.000000 348.750000 1.012261 0.000396 1.044861 0.000193
18.000000 24.000000 353.000000 370.000000 21.000000 361.500000 1.010312 0.000575 1.041166 0.000279
24.000000 30.000000 208.500000 225.500000 27.000000 217.000000 0.987591 0.000272 1.044151 0.000146
24.000000 30.000000 225.500000 234.000000 27.000000 229.750000 0.990996 0.000354 1.043378 0.000190
24.000000 30.000000 234.000000 242.500000 27.000000 238.250000 0.989973 0.000353 1.046637 0.000188
24.000000 30.000000 242.500000 251.000000 27.000000 246.750000 0.989586 0.000354 1.045079 0.000187
24.000000 30.000000 251.000000 259.500000 27.000000 255.250000 0.991246 0.000355 1.043809 0.000187
24.000000 30.000000 259.500000 268.000000 27.000000 263.750000 0.994073 0.000355 1.044513 0.000189
24.000000 30.000000 268.000000 276.500000 27.000000 272.250000 0.990856 0.000365 1.042678 0.000192
24.000000 30.000000 276.500000 285.000000 27.000000 280.750000 0.993514 0.000373 1.043344 0.000193
24.000000 30.000000 285.000000 293.500000 27.000000 289.250000 0.993558 0.000381 1.041107 0.000204
24.000000 30.000000 293.500000 302.000000 27.000000 297.750000 0.995659 0.000399 1.041808 0.000209
24.000000 30.000000 302.000000 310.500000 27.000000 306.250000 0.992034 0.000412 1.041735 0.000216
24.000000 30.000000 310.500000 319.000000 27.000000 314.750000 0.992361 0.000430 1.041495 0.000224
24.000000 30.000000 319.000000 327.500000 27.000000 323.250000 0.989748 0.000449 1.044828 0.000239
24.000000 30.000000 327.500000 336.000000 27.000000 331.750000 0.993106 0.000475 1.043447 0.000243
24.000000 30.000000 336.000000 344.500000 27.000000 340.250000 0.994268 0.000504 1.042283 0.000259
24.000000 30.000000 344.500000 353.000000 27.000000 348.750000 0.998793 0.000548 1.041628 0.000281
24.000000 30.000000 353.000000 370.000000 27.000000 361.500000 0.987834 0.000815 1.034531 0.000403
30.000000 38.000000 208.500000 225.500000 34.000000 217.000000 0.968299 0.000297 1.036772 0.000166
30.000000 38.000000 225.500000 234.000000 34.000000 229.750000 0.970289 0.000393 1.035315 0.000222
30.000000 38.000000 234.000000 242.500000 34.000000 238.250000 0.972079 0.000399 1.034096 0.000224
30.000000 38.000000 242.500000 251.000000 34.000000 246.750000 0.973046 0.000407 1.033904 0.000230
30.000000 38.000000 251.000000 259.500000 34.000000 255.250000 0.969056 0.000409 1.034296 0.000229
30.000000 38.000000 259.500000 268.000000 34.000000 263.750000 0.971704 0.000416 1.032957 0.000233
30.000000 38.000000 268.000000 276.500000 34.000000 272.250000 0.975343 0.000424 1.032232 0.000236
30.000000 38.000000 276.500000 285.000000 34.000000 280.750000 0.973300 0.000441 1.032600 0.000247
30.000000 38.000000 285.000000 293.500000 34.000000 289.250000 0.970411 0.000451 1.034332 0.000249
30.000000 38.000000 293.500000 302.000000 34.000000 297.750000 0.970397 0.000468 1.033932 0.000255
30.000000 38.000000 302.000000 310.500000 34.000000 306.250000 0.969469 0.000483 1.029068 0.000269
30.000000 38.000000 310.500000 319.000000 34.000000 314.750000 0.966527 0.000513 1.031064 0.000280
30.000000 38.000000 319.000000 327.500000 34.000000 323.250000 0.969095 0.000536 1.029942 0.000298
30.000000 38.000000 327.500000 336.000000 34.000000 331.750000 0.971523 0.000569 1.029734 0.000316
30.000000 38.000000 336.000000 344.500000 34.000000 340.250000 0.976161 0.000598 1.029675 0.000334
30.000000 38.000000 344.500000 353.000000 34.000000 348.750000 0.972956 0.000643 1.033877 0.000356
30.000000 38.000000 353.000000 370.000000 34.000000 361.500000 0.959264 0.000947 1.021248 0.000514
38.000000 46.000000 208.500000 225.500000 42.000000 217.000000 0.941592 0.000383 1.024392 0.000230
38.000000 46.000000 225.500000 234.000000 42.000000 229.750000 0.942341 0.000498 1.020063 0.000306
38.000000 46.000000 234.000000 242.500000 42.000000 238.250000 0.944200 0.000519 1.021417 0.000310
38.000000 46.000000 242.500000 251.000000 42.000000 246.750000 0.939267 0.000518 1.015701 0.000316
