# theta_low theta_high x_low x_high theta_center x_center ratio_integral err_integral ratio_width err_width
0.000000 6.000000 208.500000 225.500000 3.000000 217.000000 0.991565 0.000395 0.987021 0.000111
0.000000 6.000000 225.500000 234.000000 3.000000 229.750000 0.990468 0.000544 0.987391 0.000158
0.000000 6.000000 234.000000 242.500000 3.000000 238.250000 0.973347 0.000546 0.986522 0.000157
0.000000 6.000000 242.500000 251.000000 3.000000 246.750000 1.003473 0.000563 0.986165 0.000155
0.000000 6.000000 251.000000 259.500000 3.000000 255.250000 0.988295 0.000549 0.984413 0.000150
0.000000 6.000000 259.500000 268.000000 3.000000 263.750000 1.013556 0.000574 0.986415 0.000152
0.000000 6.000000 268.000000 276.500000 3.000000 272.250000 0.990862 0.000543 0.984975 0.000149
0.000000 6.000000 276.500000 285.000000 3.000000 280.750000 0.990817 0.000558 0.983166 0.000149
0.000000 6.000000 285.000000 293.500000 3.000000 289.250000 0.976969 0.000539 0.983375 0.000143
0.000000 6.000000 293.500000 302.000000 3.000000 297.750000 0.988260 0.000552 0.982637 0.000144
0.000000 6.000000 302.000000 310.500000 3.000000 306.250000 0.973599 0.000530 0.983276 0.000140
0.000000 6.000000 310.500000 319.000000 3.000000 314.750000 0.989532 0.000533 0.981424 0.000145
0.000000 6.000000 319.000000 327.500000 3.000000 323.250000 0.984702 0.000503 0.983875 0.000139
0.000000 6.000000 327.500000 336.000000 3.000000 331.750000 0.996086 0.000533 0.981406 0.000146
0.000000 6.000000 336.000000 344.500000 3.000000 340.250000 0.998875 0.000549 0.981635 0.000146
0.000000 6.000000 344.500000 353.000000 3.000000 348.750000 1.009358 0.000560 0.983297 0.000146
0.000000 6.000000 353.000000 370.000000 3.000000 361.500000 1.034056 0.000744 0.978830 0.000199
6.000000 12.000000 208.500000 225.500000 9.000000 217.000000 0.992511 0.000338 0.994272 0.000101
6.000000 12.000000 225.500000 234.000000 9.000000 229.750000 0.990028 0.000456 0.993327 0.000136
6.000000 12.000000 234.000000 242.500000 9.000000 238.250000 0.989793 0.000458 0.995215 0.000136
6.000000 12.000000 242.500000 251.000000 9.000000 246.750000 0.995296 0.000475 0.993625 0.000137
6.000000 12.000000 251.000000 259.500000 9.000000 255.250000 0.994823 0.000458 0.994928 0.000136
6.000000 12.000000 259.500000 268.000000 9.000000 263.750000 0.988743 0.000472 0.993018 0.000133
6.000000 12.000000 268.000000 276.500000 9.000000 272.250000 0.988940 0.000469 0.992002 0.000132
6.000000 12.000000 276.500000 285.000000 9.000000 280.750000 0.999994 0.000464 0.993367 0.000133
6.000000 12.000000 285.000000 293.500000 9.000000 289.250000 0.992491 0.000465 0.992326 0.000130
6.000000 12.000000 293.500000 302.000000 9.000000 297.750000 0.998062 0.000463 0.991419 0.000131
6.000000 12.000000 302.000000 310.500000 9.000000 306.250000 0.996497 0.000464 0.991764 0.000131
6.000000 12.000000 310.500000 319.000000 9.000000 314.750000 0.991443 0.000466 0.991107 0.000129
6.000000 12.000000 319.000000 327.500000 9.000000 323.250000 0.992200 0.000478 0.991305 0.000129
6.000000 12.000000 327.500000 336.000000 9.000000 331.750000 0.989639 0.000470 0.990473 0.000130
6.000000 12.000000 336.000000 344.500000 9.000000 340.250000 0.986824 0.000469 0.990844 0.000129
6.000000 12.000000 344.500000 353.000000 9.000000 348.750000 1.003788 0.000483 0.991436 0.000131
6.000000 12.000000 353.000000 370.000000 9.000000 361.500000 1.033712 0.000671 0.987947 0.000176
12.000000 18.000000 208.500000 225.500000 15.000000 217.000000 0.998631 0.000344 1.002146 0.000102
12.000000 18.000000 225.500000 234.000000 15.000000 229.750000 0.993005 0.000470 0.999722 0.000136
12.000000 18.000000 234.000000 242.500000 15.000000 238.250000 0.983620 0.000479 0.999791 0.000139
12.000000 18.000000 242.500000 251.000000 15.000000 246.750000 0.983012 0.000489 0.999373 0.000138
