# theta_low theta_high x_low x_high theta_center x_center ratio_integral err_integral ratio_width err_width
0.000000 6.000000 208.500000 225.500000 3.000000 217.000000 1.071280 0.000623 0.924697 0.000128
0.000000 6.000000 225.500000 234.000000 3.000000 229.750000 1.074665 0.000788 0.926485 0.000165
0.000000 6.000000 234.000000 242.500000 3.000000 238.250000 1.078385 0.000848 0.925682 0.000164
0.000000 6.000000 242.500000 251.000000 3.000000 246.750000 1.059706 0.000821 0.920958 0.000162
0.000000 6.000000 251.000000 259.500000 3.000000 255.250000 1.087330 0.000773 0.925807 0.000158
0.000000 6.000000 259.500000 268.000000 3.000000 263.750000 1.076701 0.000792 0.926343 0.000164
0.000000 6.000000 268.000000 276.500000 3.000000 272.250000 1.029159 0.000712 0.924005 0.000155
0.000000 6.000000 276.500000 285.000000 3.000000 280.750000 1.015091 0.000731 0.923382 0.000157
0.000000 6.000000 285.000000 293.500000 3.000000 289.250000 1.046550 0.000762 0.924782 0.000161
0.000000 6.000000 293.500000 302.000000 3.000000 297.750000 1.071453 0.000763 0.923247 0.000150
0.000000 6.000000 302.000000 310.500000 3.000000 306.250000 1.082105 0.000799 0.923612 0.000152
0.000000 6.000000 310.500000 319.000000 3.000000 314.750000 1.064880 0.000797 0.923098 0.000153
0.000000 6.000000 319.000000 327.500000 3.000000 323.250000 1.057997 0.000768 0.924416 0.000153
0.000000 6.000000 327.500000 336.000000 3.000000 331.750000 1.055620 0.000807 0.922734 0.000156
0.000000 6.000000 336.000000 344.500000 3.000000 340.250000 1.039209 0.000770 0.921970 0.000151
0.000000 6.000000 344.500000 353.000000 3.000000 348.750000 1.041166 0.000803 0.923004 0.000165
0.000000 6.000000 353.000000 370.000000 3.000000 361.500000 1.033316 0.001128 0.919803 0.000211
6.000000 12.000000 208.500000 225.500000 9.000000 217.000000 1.019392 0.000442 0.933859 0.000112
6.000000 12.000000 225.500000 234.000000 9.000000 229.750000 1.008990 0.000564 0.932947 0.000144
6.000000 12.000000 234.000000 242.500000 9.000000 238.250000 1.004915 0.000562 0.932864 0.000143
6.000000 12.000000 242.500000 251.000000 9.000000 246.750000 1.015206 0.000561 0.932692 0.000140
6.000000 12.000000 251.000000 259.500000 9.000000 255.250000 1.017568 0.000561 0.932010 0.000138
6.000000 12.000000 259.500000 268.000000 9.000000 263.750000 1.013002 0.000552 0.931518 0.000138
6.000000 12.000000 268.000000 276.500000 9.000000 272.250000 0.995616 0.000550 0.930417 0.000136
6.000000 12.000000 276.500000 285.000000 9.000000 280.750000 0.993932 0.000538 0.931649 0.000136
6.000000 12.000000 285.000000 293.500000 9.000000 289.250000 1.005141 0.000546 0.931909 0.000134
6.000000 12.000000 293.500000 302.000000 9.000000 297.750000 0.999774 0.000539 0.931115 0.000134
6.000000 12.000000 302.000000 310.500000 9.000000 306.250000 1.006789 0.000548 0.930612 0.000136
6.000000 12.000000 310.500000 319.000000 9.000000 314.750000 1.010752 0.000542 0.929531 0.000137
6.000000 12.000000 319.000000 327.500000 9.000000 323.250000 1.009742 0.000562 0.930348 0.000137
6.000000 12.000000 327.500000 336.000000 9.000000 331.750000 1.003631 0.000555 0.929916 0.000136
6.000000 12.000000 336.000000 344.500000 9.000000 340.250000 1.005858 0.000568 0.929555 0.000139
6.000000 12.000000 344.500000 353.000000 9.000000 348.750000 1.006104 0.000568 0.929749 0.000142
6.000000 12.000000 353.000000 370.000000 9.000000 361.500000 1.012389 0.000834 0.924146 0.000203
12.000000 18.000000 208.500000 225.500000 15.000000 217.000000 1.041187 0.000440 0.954796 0.000116
12.000000 18.000000 225.500000 234.000000 15.000000 229.750000 1.046782 0.000586 0.953659 0.000154
12.000000 18.000000 234.000000 242.500000 15.000000 238.250000 1.035632 0.000569 0.954046 0.000149
12.000000 18.000000 242.500000 251.000000 15.000000 246.750000 1.038830 0.000575 0.953582 0.000152
12.000000 18.000000 251.000000 259.500000 15.000000 255.250000 1.040333 0.000592 0.952244 0.000149
12.000000 18.000000 259.500000 268.000000 15.000000 263.750000 1.041035 0.000597 0.953764 0.000148
12.000000 18.000000 268.000000 276.500000 15.000000 272.250000 1.041806 0.000585 0.953058 0.000151
12.000000 18.000000 276.500000 285.000000 15.000000 280.750000 1.044166 0.000577 0.952696 0.000150
12.000000 18.000000 285.000000 293.500000 15.000000 289.250000 1.041685 0.000589 0.951339 0.000149
12.000000 18.000000 293.500000 302.000000 15.000000 297.750000 1.037888 0.000604 0.953310 0.000150
12.000000 18.000000 302.000000 310.500000 15.000000 306.250000 1.047100 0.000610 0.953266 0.000147
