# theta_low theta_high x_low x_high theta_center x_center ratio_integral err_integral ratio_width err_width
0.000000 6.000000 208.500000 225.500000 3.000000 217.000000 1.025697 0.000564 0.987989 0.000162
0.000000 6.000000 225.500000 234.000000 3.000000 229.750000 1.032719 0.000740 0.985692 0.000205
0.000000 6.000000 234.000000 242.500000 3.000000 238.250000 1.021444 0.000725 0.987238 0.000210
0.000000 6.000000 242.500000 251.000000 3.000000 246.750000 1.026610 0.000690 0.988379 0.000206
0.000000 6.000000 251.000000 259.500000 3.000000 255.250000 1.045955 0.000746 0.987740 0.000200
0.000000 6.000000 259.500000 268.000000 3.000000 263.750000 1.017163 0.000735 0.985918 0.000202
0.000000 6.000000 268.000000 276.500000 3.000000 272.250000 1.008769 0.000680 0.987881 0.000200
0.000000 6.000000 276.500000 285.000000 3.000000 280.750000 1.027067 0.000704 0.985618 0.000191
0.000000 6.000000 285.000000 293.500000 3.000000 289.250000 1.007102 0.000708 0.983610 0.000199
0.000000 6.000000 293.500000 302.000000 3.000000 297.750000 1.055862 0.000767 0.985312 0.000205
0.000000 6.000000 302.000000 310.500000 3.000000 306.250000 1.053209 0.000742 0.988137 0.000191
0.000000 6.000000 310.500000 319.000000 3.000000 314.750000 1.043178 0.000714 0.984379 0.000182
0.000000 6.000000 319.000000 327.500000 3.000000 323.250000 1.011974 0.000698 0.981667 0.000184
0.000000 6.000000 327.500000 336.000000 3.000000 331.750000 1.026241 0.000712 0.983897 0.000186
0.000000 6.000000 336.000000 344.500000 3.000000 340.250000 1.007533 0.000720 0.982416 0.000191
0.000000 6.000000 344.500000 353.000000 3.000000 348.750000 1.020553 0.000765 0.981981 0.000191
0.000000 6.000000 353.000000 370.000000 3.000000 361.500000 1.119598 0.001101 0.980244 0.000251
6.000000 12.000000 208.500000 225.500000 9.000000 217.000000 1.034082 0.000442 0.996860 0.000139
6.000000 12.000000 225.500000 234.000000 9.000000 229.750000 1.023478 0.000601 0.997089 0.000187
