# theta_low theta_high x_low x_high theta_center x_center ratio_integral err_integral ratio_width err_width
0.000000 6.000000 58.500000 75.500000 3.000000 67.000000 1.010139 0.000392 1.035112 0.000158
0.000000 6.000000 75.500000 84.000000 3.000000 79.750000 1.008668 0.000488 1.037575 0.000193
0.000000 6.000000 84.000000 92.500000 3.000000 88.250000 1.023819 0.000499 1.037508 0.000199
0.000000 6.000000 92.500000 101.000000 3.000000 96.750000 1.017627 0.000495 1.038369 0.000200
0.000000 6.000000 101.000000 109.500000 3.000000 105.250000 1.032522 0.000528 1.041614 0.000207
0.000000 6.000000 109.500000 118.000000 3.000000 113.750000 1.026441 0.000520 1.040233 0.000208
0.000000 6.000000 118.000000 126.500000 3.000000 122.250000 1.028008 0.000542 1.039927 0.000213
0.000000 6.000000 126.500000 135.000000 3.000000 130.750000 1.029845 0.000545 1.039201 0.000211
0.000000 6.000000 135.000000 143.500000 3.000000 139.250000 1.011655 0.000534 1.035402 0.000212
0.000000 6.000000 143.500000 152.000000 3.000000 147.750000 1.029642 0.000550 1.038132 0.000216
0.000000 6.000000 152.000000 160.500000 3.000000 156.250000 1.036296 0.000586 1.039693 0.000220
0.000000 6.000000 160.500000 169.000000 3.000000 164.750000 1.027384 0.000580 1.036487 0.000227
0.000000 6.000000 169.000000 177.500000 3.000000 173.250000 1.032137 0.000576 1.040660 0.000232
0.000000 6.000000 177.500000 186.000000 3.000000 181.750000 1.040121 0.000587 1.041749 0.000230
0.000000 6.000000 186.000000 194.500000 3.000000 190.250000 1.033520 0.000587 1.039878 0.000232
0.000000 6.000000 194.500000 203.000000 3.000000 198.750000 1.037846 0.000613 1.038600 0.000244
0.000000 6.000000 203.000000 220.000000 3.000000 211.500000 1.034251 0.000670 1.040189 0.000264
6.000000 12.000000 58.500000 75.500000 9.000000 67.000000 1.027728 0.000310 1.028211 0.000141
6.000000 12.000000 75.500000 84.000000 9.000000 79.750000 1.015030 0.000376 1.032357 0.000173
6.000000 12.000000 84.000000 92.500000 9.000000 88.250000 1.015933 0.000387 1.032704 0.000179
6.000000 12.000000 92.500000 101.000000 9.000000 96.750000 1.015653 0.000387 1.030689 0.000177
6.000000 12.000000 101.000000 109.500000 9.000000 105.250000 1.013853 0.000393 1.032651 0.000179
6.000000 12.000000 109.500000 118.000000 9.000000 113.750000 1.018263 0.000402 1.032598 0.000182
6.000000 12.000000 118.000000 126.500000 9.000000 122.250000 1.017548 0.000403 1.033472 0.000185
6.000000 12.000000 126.500000 135.000000 9.000000 130.750000 1.019386 0.000406 1.032640 0.000189
6.000000 12.000000 135.000000 143.500000 9.000000 139.250000 1.023845 0.000414 1.033396 0.000191
6.000000 12.000000 143.500000 152.000000 9.000000 147.750000 1.018600 0.000422 1.032016 0.000196
6.000000 12.000000 152.000000 160.500000 9.000000 156.250000 1.025746 0.000436 1.033633 0.000197
6.000000 12.000000 160.500000 169.000000 9.000000 164.750000 1.025323 0.000434 1.034459 0.000197
6.000000 12.000000 169.000000 177.500000 9.000000 173.250000 1.015359 0.000431 1.034746 0.000199
6.000000 12.000000 177.500000 186.000000 9.000000 181.750000 1.024731 0.000438 1.033594 0.000199
6.000000 12.000000 186.000000 194.500000 9.000000 190.250000 1.035773 0.000444 1.036001 0.000204
6.000000 12.000000 194.500000 203.000000 9.000000 198.750000 1.035606 0.000441 1.034882 0.000206
