# theta_low theta_high x_low x_high theta_center x_center ratio_integral err_integral ratio_width err_width
0.000000 6.000000 58.500000 75.500000 3.000000 67.000000 1.056959 0.000626 0.987425 0.000166
0.000000 6.000000 75.500000 84.000000 3.000000 79.750000 1.032512 0.000687 0.988750 0.000193
0.000000 6.000000 84.000000 92.500000 3.000000 88.250000 1.012071 0.000688 0.991430 0.000194
0.000000 6.000000 92.500000 101.000000 3.000000 96.750000 1.012798 0.000654 0.987388 0.000183
0.000000 6.000000 101.000000 109.500000 3.000000 105.250000 1.028584 0.000645 0.988784 0.000182
0.000000 6.000000 109.500000 118.000000 3.000000 113.750000 1.023829 0.000651 0.990094 0.000188
0.000000 6.000000 118.000000 126.500000 3.000000 122.250000 1.022630 0.000647 0.989021 0.000193
0.000000 6.000000 126.500000 135.000000 3.000000 130.750000 1.050192 0.000664 0.992529 0.000192
0.000000 6.000000 135.000000 143.500000 3.000000 139.250000 1.065041 0.000623 0.994706 0.000195
0.000000 6.000000 143.500000 152.000000 3.000000 147.750000 1.045069 0.000659 0.992326 0.000189
0.000000 6.000000 152.000000 160.500000 3.000000 156.250000 1.018002 0.000701 0.989381 0.000201
0.000000 6.000000 160.500000 169.000000 3.000000 164.750000 1.036123 0.000688 0.993189 0.000195
0.000000 6.000000 169.000000 177.500000 3.000000 173.250000 1.042181 0.000675 0.991928 0.000192
0.000000 6.000000 177.500000 186.000000 3.000000 181.750000 1.031943 0.000698 0.989590 0.000194
0.000000 6.000000 186.000000 194.500000 3.000000 190.250000 1.047132 0.000693 0.994965 0.000197
0.000000 6.000000 194.500000 203.000000 3.000000 198.750000 1.059604 0.000673 0.993872 0.000208
0.000000 6.000000 203.000000 220.000000 3.000000 211.500000 1.024762 0.000733 0.993934 0.000238
6.000000 12.000000 58.500000 75.500000 9.000000 67.000000 1.030452 0.000556 0.995168 0.000152
6.000000 12.000000 75.500000 84.000000 9.000000 79.750000 1.011768 0.000624 0.998056 0.000178
6.000000 12.000000 84.000000 92.500000 9.000000 88.250000 1.010940 0.000622 0.998456 0.000177
6.000000 12.000000 92.500000 101.000000 9.000000 96.750000 1.009010 0.000597 0.997126 0.000171
6.000000 12.000000 101.000000 109.500000 9.000000 105.250000 1.003446 0.000609 0.997565 0.000172
6.000000 12.000000 109.500000 118.000000 9.000000 113.750000 0.997724 0.000586 0.997891 0.000173
6.000000 12.000000 118.000000 126.500000 9.000000 122.250000 0.993020 0.000577 0.996819 0.000166
6.000000 12.000000 126.500000 135.000000 9.000000 130.750000 0.997203 0.000573 0.996718 0.000165
6.000000 12.000000 135.000000 143.500000 9.000000 139.250000 1.000342 0.000588 0.998064 0.000174
6.000000 12.000000 143.500000 152.000000 9.000000 147.750000 0.997098 0.000581 0.998134 0.000177
6.000000 12.000000 152.000000 160.500000 9.000000 156.250000 0.991444 0.000587 0.997826 0.000177
6.000000 12.000000 160.500000 169.000000 9.000000 164.750000 1.000358 0.000583 0.998998 0.000181
6.000000 12.000000 169.000000 177.500000 9.000000 173.250000 1.002839 0.000570 0.998650 0.000179
6.000000 12.000000 177.500000 186.000000 9.000000 181.750000 0.993886 0.000575 1.000206 0.000184
6.000000 12.000000 186.000000 194.500000 9.000000 190.250000 1.010397 0.000571 1.000355 0.000189
6.000000 12.000000 194.500000 203.000000 9.000000 198.750000 1.007472 0.000573 1.000891 0.000188
6.000000 12.000000 203.000000 220.000000 9.000000 211.500000 1.025809 0.000639 1.002167 0.000214
12.000000 18.000000 58.500000 75.500000 15.000000 67.000000 1.009888 0.000568 1.001815 0.000156
12.000000 18.000000 75.500000 84.000000 15.000000 79.750000 0.992437 0.000646 1.004248 0.000181
12.000000 18.000000 84.000000 92.500000 15.000000 88.250000 0.998703 0.000627 1.003834 0.000177
12.000000 18.000000 92.500000 101.000000 15.000000 96.750000 1.006086 0.000621 1.002371 0.000177
12.000000 18.000000 101.000000 109.500000 15.000000 105.250000 1.011030 0.000636 1.001088 0.000179
12.000000 18.000000 109.500000 118.000000 15.000000 113.750000 1.010352 0.000627 1.002546 0.000178
12.000000 18.000000 118.000000 126.500000 15.000000 122.250000 1.014486 0.000616 1.002591 0.000177
12.000000 18.000000 126.500000 135.000000 15.000000 130.750000 1.006762 0.000624 1.002724 0.000179
12.000000 18.000000 135.000000 143.500000 15.000000 139.250000 1.007956 0.000613 1.003374 0.000181
12.000000 18.000000 143.500000 152.000000 15.000000 147.750000 0.996200 0.000622 1.003527 0.000182
12.000000 18.000000 152.000000 160.500000 15.000000 156.250000 1.003113 0.000607 1.005045 0.000181
12.000000 18.000000 160.500000 169.000000 15.000000 164.750000 1.010341 0.000609 1.004360 0.000183
12.000000 18.000000 169.000000 177.500000 15.000000 173.250000 1.009218 0.000611 1.005562 0.000183
12.000000 18.000000 177.500000 186.000000 15.000000 181.750000 1.013556 0.000593 1.004611 0.000181
12.000000 18.000000 186.000000 194.500000 15.000000 190.250000 1.011531 0.000587 1.004735 0.000186
12.000000 18.000000 194.500000 203.000000 15.000000 198.750000 1.006022 0.000590 1.004862 0.000187
12.000000 18.000000 203.000000 220.000000 15.000000 211.500000 1.015090 0.000652 1.007054 0.000207
18.000000 24.000000 58.500000 75.500000 21.000000 67.000000 1.017455 0.000614 1.002648 0.000159
18.000000 24.000000 75.500000 84.000000 21.000000 79.750000 1.008087 0.000714 1.003848 0.000192
