# theta_low theta_high x_low x_high theta_center x_center ratio_integral err_integral ratio_width err_width
0.000000 6.000000 208.500000 225.500000 3.000000 217.000000 1.031099 0.000513 1.041225 0.000204
0.000000 6.000000 225.500000 234.000000 3.000000 229.750000 1.016588 0.000608 1.038253 0.000247
0.000000 6.000000 234.000000 242.500000 3.000000 238.250000 1.005222 0.000586 1.036557 0.000242
0.000000 6.000000 242.500000 251.000000 3.000000 246.750000 1.008892 0.000587 1.039944 0.000241
0.000000 6.000000 251.000000 259.500000 3.000000 255.250000 1.008525 0.000586 1.038858 0.000238
0.000000 6.000000 259.500000 268.000000 3.000000 263.750000 1.020080 0.000595 1.038709 0.000241
0.000000 6.000000 268.000000 276.500000 3.000000 272.250000 1.022986 0.000582 1.035604 0.000233
0.000000 6.000000 276.500000 285.000000 3.000000 280.750000 1.007001 0.000549 1.035818 0.000222
0.000000 6.000000 285.000000 293.500000 3.000000 289.250000 1.010941 0.000550 1.039063 0.000219
0.000000 6.000000 293.500000 302.000000 3.000000 297.750000 1.002858 0.000535 1.036143 0.000216
0.000000 6.000000 302.000000 310.500000 3.000000 306.250000 1.013440 0.000569 1.034843 0.000226
0.000000 6.000000 310.500000 319.000000 3.000000 314.750000 1.021939 0.000562 1.039447 0.000220
0.000000 6.000000 319.000000 327.500000 3.000000 323.250000 1.022094 0.000552 1.038096 0.000221
0.000000 6.000000 327.500000 336.000000 3.000000 331.750000 1.032721 0.000583 1.038643 0.000225
0.000000 6.000000 336.000000 344.500000 3.000000 340.250000 1.033685 0.000578 1.038594 0.000227
0.000000 6.000000 344.500000 353.000000 3.000000 348.750000 1.041293 0.000600 1.036166 0.000241
0.000000 6.000000 353.000000 370.000000 3.000000 361.500000 1.037027 0.000839 1.027890 0.000325
6.000000 12.000000 208.500000 225.500000 9.000000 217.000000 1.017583 0.000352 1.033691 0.000173
6.000000 12.000000 225.500000 234.000000 9.000000 229.750000 1.021492 0.000463 1.035125 0.000222
6.000000 12.000000 234.000000 242.500000 9.000000 238.250000 1.020112 0.000448 1.036251 0.000216
6.000000 12.000000 242.500000 251.000000 9.000000 246.750000 1.020777 0.000445 1.037813 0.000214
6.000000 12.000000 251.000000 259.500000 9.000000 255.250000 1.013521 0.000448 1.032499 0.000212
6.000000 12.000000 259.500000 268.000000 9.000000 263.750000 1.009881 0.000444 1.032546 0.000210
6.000000 12.000000 268.000000 276.500000 9.000000 272.250000 1.009477 0.000434 1.034222 0.000210
6.000000 12.000000 276.500000 285.000000 9.000000 280.750000 1.008850 0.000431 1.033404 0.000202
6.000000 12.000000 285.000000 293.500000 9.000000 289.250000 1.011670 0.000419 1.031981 0.000198
6.000000 12.000000 293.500000 302.000000 9.000000 297.750000 1.010124 0.000416 1.033200 0.000200
6.000000 12.000000 302.000000 310.500000 9.000000 306.250000 1.008422 0.000414 1.032296 0.000196
6.000000 12.000000 310.500000 319.000000 9.000000 314.750000 1.011661 0.000414 1.033849 0.000197
6.000000 12.000000 319.000000 327.500000 9.000000 323.250000 1.009174 0.000407 1.033427 0.000193
6.000000 12.000000 327.500000 336.000000 9.000000 331.750000 1.019166 0.000409 1.030717 0.000187
6.000000 12.000000 336.000000 344.500000 9.000000 340.250000 1.024598 0.000427 1.031949 0.000196
6.000000 12.000000 344.500000 353.000000 9.000000 348.750000 1.024303 0.000440 1.026850 0.000199
6.000000 12.000000 353.000000 370.000000 9.000000 361.500000 1.036593 0.000642 1.027596 0.000295
12.000000 18.000000 208.500000 225.500000 15.000000 217.000000 1.036266 0.000385 1.048746 0.000190
12.000000 18.000000 225.500000 234.000000 15.000000 229.750000 1.028833 0.000494 1.048792 0.000241
12.000000 18.000000 234.000000 242.500000 15.000000 238.250000 1.020906 0.000485 1.049329 0.000238
12.000000 18.000000 242.500000 251.000000 15.000000 246.750000 1.027932 0.000482 1.048949 0.000236
12.000000 18.000000 251.000000 259.500000 15.000000 255.250000 1.029756 0.000487 1.052657 0.000240
12.000000 18.000000 259.500000 268.000000 15.000000 263.750000 1.025020 0.000482 1.049705 0.000236
12.000000 18.000000 268.000000 276.500000 15.000000 272.250000 1.025537 0.000480 1.050912 0.000238
